county,percent over 65,poverty percent,total health insurance pop,nursing homes
"Adams, PA",15.4,12.5,81517,955
"Allegheny, PA",14.9,7.2,1158326,7942
"Armstrong, PA",16.8,13,65340,324
"Beaver, PA",18.3,12.5,162945,1297
"Bedford, PA",18.3,11.5,44852,335
"Berks, PA",18.1,11.7,332401,2452
"Blair, PA",14.4,12.1,115754,1955
"Bradford, PA",18,14.6,55848,383
"Bucks, PA",17.4,14.1,559410,3569
"Butler, PA",14.4,4.2,161981,1299
"Cambria, PA",15.3,8.9,131861,1036
"Cameron, PA",18.8,15.5,5399,50
"Carbon, PA",19.9,13.1,53674,430
"Centre, PA",17.3,11.2,111615,644
"Chester, PA",11.4,18,400987,2572
"Clarion, PA",12.6,6.3,35977,252
"Clearfield, PA",16.9,14.3,72657,725
"Clinton, PA",17.8,14.2,32342,231
"Columbia, PA",16.8,16.3,54714,545
"Crawford, PA",16.6,13.7,77842,503
"Cumberland, PA",16.6,16.2,189865,1870
"Dauphin, PA",15.7,6.7,222620,1377
"Delaware, PA",13.9,12.6,496855,4131
"Elk, PA",14.3,9.3,32615,247
"Erie, PA",19,10.7,241051,1962
"Fayette, PA",14.6,15.7,128910,823
"Forest, PA",17.3,17.3,4154,94
"Franklin, PA",17.1,22.4,117103,983
"Fulton, PA",16.9,9.3,13077,10
"Greene, PA",17.1,11.3,33101,224
"Huntingdon, PA",15.1,17.5,37091,134
"Indiana, PA",16,13,75496,439
"Jefferson, PA",16,17.6,40989,460
"Juniata, PA",18.1,14.3,20059,219
"Lackawanna, PA",17.2,10.4,189134,2440
"Lancaster, PA",17.7,14.4,414964,4311
"Lawrence, PA",15,9.4,83929,735
"Lebanon, PA",18.8,12,105137,1303
"Lehigh, PA",17.2,9,275045,3023
"Luzerne, PA",15.3,12.4,283396,3201
"Lycoming, PA",18.1,13.1,103915,1009
"McKean, PA",16.7,14.7,39174,566
"Mercer, PA",16.9,16.1,103904,1080
"Mifflin, PA",17.9,13,41434,444
"Monroe, PA",18.4,15.1,125869,496
"Montgomery, PA",12.5,10.2,696181,7095
"Montour, PA",15,5.5,16235,371
"Northampton, PA",18.4,10.7,240924,2099
"Northumberland, PA",15.1,8.5,82193,858
"Perry, PA",18.8,14.6,40192,278
"Philadelphia, PA",13.3,8.8,1228578,7877
"Pike, PA",12.5,24.5,43189,95
"Potter, PA",16.2,8.2,15984,132
"Schuylkill, PA",19.3,15.7,130986,1418
"Snyder, PA",18.4,11.9,32475,153
"Somerset, PA",15.1,14,68488,659
"Sullivan, PA",18.8,13.9,5599,149
"Susquehanna, PA",24.9,13.2,37607,205
"Tioga, PA",17.1,13.8,35659,237
"Union, PA",18.3,16,29908,372
"Venango, PA",14.6,13.9,50730,462
"Warren, PA",17.9,17.5,39257,376
"Washington, PA",18.6,12.2,188114,1149
"Wayne, PA",17.5,10.9,41338,323
"Westmoreland, PA",19.3,11.2,337417,2131
"Wyoming, PA",18.9,10.4,24949,111
"York, PA",15.9,12.8,350391,2145
