City-County,Start Date,End Date,Peak #,Population,max_rate_dist,distance_accel,max_rate_undist,undistance_accel,,,Peak #,Population,max_rate_dist,distance_accel,max_rate_undist,undistance_accel
,,,,,,,,,,Peak #,,,,,,
Bernalillo,Apr-22-2020,Jul-31-2020,1,679121,3.003996,5.703714,7.120119,0.000341,,Population,0.027362947,,,,,
,,,,,,,,,,max_rate_dist,-0.060318697,0.239169988,,,,
Bernalillo,Aug-27-2020,Dec-05-2020,2,679121,2.526062,3.384843,0.686757,0.010718,,distance_accel,-0.297663296,-0.31967812,-0.114205173,,,
,,,,,,,,,,max_rate_undist,-0.347094736,-0.138896426,-0.205556547,0.112289442,,
District of Columbia,Feb-02-2020,May-12-2020,1,704749,5.312347,9.275923,0.928411,0.016071,,undistance_accel,-0.147498137,0.227469903,-0.002966538,-0.028148944,-0.107817088,
,,,,,,,,,,,,,,,,
District of Columbia,Apr-22-2020,Jul-31-2020,2,704749,1.715713,0.897959,2.224531,0.000105,,,,,,,,
,,,,,,,,,,,,,,,,
District of Columbia,Oct-11-2020,Jan-19-2021,3,704749,8.704481,0.363732,0.115925,0.04635,,,,,,,,
,,,,,,,,,,,,,,,,
Denver,Feb-04-2020,May-14-2020,1,600158,7.207224,13.038955,0.776531,0.038601,,,,,,,,
,,,,,,,,,,,,,,,,
Denver,May-06-2020,Aug-14-2020,2,600158,113.057331,0.037965,0.050799,0.041866,,,,,,,,
,,,,,,,,,,,,,,,,
Denver,Aug-31-2020,Dec-09-2020,3,600158,3.191198,2.004232,0.300067,0.05036,,,,,,,,
,,,,,,,,,,,,,,,,
Fayette,Jul-18-2020,Oct-26-2020,1,323152,66.192854,0.139303,0.235322,0.019958,,,,,,,,
,,,,,,,,,,,,,,,,
Fayette,Sep-14-2020,Dec-23-2020,2,323152,1.826619,1.861223,0.083862,0.046977,,,,,,,,
,,,,,,,,,,,,,,,,
Fayette,Oct-17-2020,Jan-25-2021,3,323152,2.38512,0.483809,0.036306,0.034446,,,,,,,,
,,,,,,,,,,,,,,,,
Hinds,Mar-17-2020,Jun-25-2020,1,231840,1.161694,37.747331,0.347663,0.005554,,,,,,,,
,,,,,,,,,,,,,,,,
